sample_id,catalog_content,image_link,price
23962,15291,7187,18.49
162542,67995,3221,12.5
164955,64001,15104,41.99
244779,44314,52029,19.99
63772,65725,7642,14.99
58563,70620,24412,43.99
78089,58353,19339,1.42
94444,62258,18315,69.56
101753,54620,13392,25.185
251410,16398,815,18.55
14179,39101,14858,7.99
270096,36174,53703,4.985
233086,27032,5391,199.99
284916,45372,10514,13.925
74193,40667,53306,9.79
103341,10359,23988,1.99
291205,68085,28283,4.46
88983,34560,66415,21.99
82534,36869,42114,2.99
286874,63271,22498,41.09
100040,46260,29207,22.99
217760,18553,45228,18.52
266652,8210,16380,20.065
61832,34399,54466,9.99
137599,7121,51955,9.99
174965,33427,67634,16.65
18040,7562,46790,72.93
58524,55619,51701,14.93
171266,49390,28408,64.74
10030,62207,2129,14.99
162024,5599,2861,2.84
163291,17891,41648,9.485
294437,30714,36120,15.3
51314,29656,37639,14.99
218483,74047,24636,15.18
85669,63376,34675,5.74
215652,45810,40893,3.38
36255,22104,62668,10.1
49092,10907,30178,14.99
298198,39004,71899,2.52
44045,55136,6688,16.0
110023,65536,7408,43.21
172002,35021,15904,21.765
85399,58637,47928,21.59
105800,18643,6111,21.95
42458,58541,53430,3.97
178459,69841,71461,7.24
69618,62076,52702,4.79
12761,16328,27506,12.85
292914,24903,4639,11.48
228328,70442,30738,3.79
140141,72410,59492,31.380000000000003
25539,30449,3738,42.65
33663,63837,50763,9.94
242502,45124,51567,7.99
223699,20684,3200,87.99
19205,45781,47590,54.27
49690,60198,22116,11.385
115621,6208,34005,3.31
57598,36456,12514,11.94
284908,60317,2886,3.69
177544,14838,63122,29.96
264135,43116,61292,6.75
102717,24499,12592,21.99
276798,65814,3785,40.96
224574,68986,27182,19.45
138061,29667,44010,34.98
249471,14705,7623,3.38
176842,63736,27714,22.65
280433,72284,27095,35.99
209692,1873,526,36.5
62159,50840,67679,14.1
133845,30406,12365,38.99
59147,23260,5314,3.59
152844,25674,32644,3.69
75098,40048,7608,9.92
238859,17503,3898,9.99
197832,15096,11307,12.69
275776,68045,37271,3.69
248321,31429,41105,26.96
269879,62925,7125,7.13
284307,17313,66006,2.245
104166,7040,34967,13.59
281270,13437,27890,3.99
135131,8501,17378,2.02
209467,72990,57554,10.99
166261,23398,32102,174.84
245933,53736,7175,4.99
153721,41726,28317,11.98
3646,24313,3744,140.75
237417,70233,34815,45.99
215442,61855,53868,9.05
87977,6495,69212,2.075
120716,21540,18180,13.88
187180,52638,726,66.35499999999999
63153,155,53632,28.48
65977,11386,8074,19.95
191183,74632,20048,21.59
110351,74421,62177,20.96
119539,5745,64417,38.4
90844,29059,17057,32.95
251236,67992,25217,7.2
169149,49401,71187,4.225
223973,8670,9116,12.99
187548,27543,20134,12.075
159036,8072,202,19.46
120251,1216,55861,12.99
106795,51593,51916,3.29
226169,32818,1263,25.99
239212,17155,32129,29.95
294434,44961,311,11.385
217205,9505,1652,5.48
140300,70506,49582,33.69
211448,25415,27286,51.84
225829,4150,53413,39.99
227063,47051,2299,22.56
240532,30512,8404,9.35
116224,66860,7286,13.98
55619,39228,5993,1.99
62817,55178,66719,25.96
144132,69823,2792,26.99
53510,50305,31885,22.99
89636,53490,1521,3.87
107939,74732,17086,2.19
293615,73853,14947,6.869999999999999
201658,9445,4109,29.77
89586,45141,3907,62.49
112198,49242,27245,39.75
1582,66580,2746,68.14
133811,67198,39787,13.95
95283,50250,35337,10.56
23471,18292,16126,5.47
88736,3263,10032,29.86
118344,36198,71235,4.1
253964,65091,12369,7.19
86507,44454,37874,3.26
96407,26702,7476,3.34
273197,40594,3398,12.98
66453,27210,46992,48.99
115180,18522,56342,9.87
162621,39669,5534,9.96
110915,12077,12459,31.0
210108,14446,35014,12.99
74333,34767,3543,7.7
82603,21607,5816,14.99
199689,57928,58744,36.49
282438,30433,39882,5.495
33356,68438,2989,10.19
240258,50977,9658,23.59
295892,4127,13747,102.97
256664,6264,44124,7.965
157600,9174,2588,104.43
275769,11344,42472,35.730000000000004
222919,49126,3571,2.99
204416,74303,43746,11.99
161551,35611,24152,42.64
48298,63561,20567,7.995
75809,58116,10027,4.79
76741,24591,26038,21.99
2141,72654,3318,46.8
293335,25281,9552,4.53
5300,35988,2465,50.76
166037,44782,15350,30.24
172478,41398,32131,14.99
117858,54045,50020,7.140000000000001
45549,25838,68631,8.42
62256,20753,27728,56.42
100551,73367,55828,12.25
209153,46465,66978,23.99
218225,56305,43305,9.99
224632,59767,32423,8.99
149839,53236,50069,30.98
183237,67650,23383,14.99
217677,32264,29368,99.99
167013,51911,8864,32.49
161088,18968,3276,142.19
298660,8199,1926,15.14
20206,52273,45346,78.86
128292,48403,33587,14.22
39289,45528,2440,6.12
99516,18537,11291,71.99
161866,16703,17177,69.78
29163,51650,3495,4.640000000000001
137414,57242,7931,33.99
213579,34173,2598,19.99
284687,58440,56221,6.87
165009,65446,40317,7.97
239007,68113,6650,18.0
273898,31304,8394,0.74
19997,47625,2073,19.6
211178,13099,12700,29.95
297874,71395,17650,4.79
281461,44882,10332,38.96
59477,4926,31751,3.29
202090,30748,68635,34.99
240150,17696,12959,2.79
54331,36479,15813,22.18
222455,48869,3330,27.95
193891,29603,36266,23.74
45020,17305,52313,2.2350000000000003
276612,21533,23310,21.979999999999997
91281,12041,9982,14.18
82963,60515,65187,7.31
45478,15973,9758,4.79
277681,64052,46247,5.61
96232,62677,29220,7.37
118460,65820,53437,23.275
130267,71280,61835,18.99
58366,66208,54598,4.5
179512,3879,17073,13.99
144165,7748,24691,37.98
37744,49894,1134,24.185
236036,71246,7465,29.97
47768,56014,16037,1.67
160843,36162,8209,10.85
117900,15083,8476,60.0
32266,65614,47598,13.29
219817,63735,52628,17.49
215068,48013,67960,25.34
221397,18547,24739,42.99
118293,46454,56896,9.99
273679,26495,21678,13.495
53015,62451,42768,24.99
276922,72276,37906,26.41
70754,59616,55529,89.53
155793,42127,37296,2.07
207029,28496,9141,2.99
59976,24959,61809,13.81
45358,60883,47737,4.35
226926,12167,32571,4.48
112405,24316,28839,3.135
298901,15792,44399,2.88
20390,22915,40022,43.32
185062,52717,4780,13.0
63274,36771,9192,11.98
54684,4040,26375,81.91
285161,36563,70033,7.635
200081,38533,8874,15.98
218915,21373,16405,12.0
218462,32185,72151,17.99
50355,2321,38613,1.905
231911,22108,14172,72.99
152128,62306,6141,126.7
203362,46251,7650,19.97
100564,62321,44318,47.4
134638,23326,50968,16.13
11033,20835,3387,2.19
215310,58359,57768,5.29
169732,5728,26034,17.99
285481,52701,67659,5.640000000000001
60786,8493,3728,3.99
271970,20626,47445,6.135
274027,16407,6268,17.39
96959,47779,1286,38.25
34088,39345,42400,5.415
39508,36484,4418,21.99
38558,24070,1031,18.21
57206,27682,55983,37.78
182227,28764,36932,3.99
217848,18211,51425,11.99
60492,13663,19290,124.99
252246,5726,14672,52.78
250513,18814,6301,2.77
24086,53979,25399,8.69
272321,14409,2552,9.49
54111,14776,38300,14.99
14176,4493,33277,17.09
26724,14217,4906,5.99
240392,56160,67225,31.49
97074,45079,33481,1.99
229286,554,7943,129.99
5002,59746,19673,58.6
237864,58560,16550,14.99
41492,11207,62762,1.99
167138,20466,2905,22.19
294466,14869,5149,33.895
262993,12090,23393,37.865
217020,27767,67666,20.55
19098,68024,34119,2.99
176390,26324,18705,77.99
71785,2724,5100,38.105
235103,2646,7885,50.4
278040,8302,69884,6.39
86895,57834,70552,3.98
61487,47718,38443,5.05
288428,73472,26458,16.99
210330,58474,35884,2.73
86541,71014,33589,37.39
230005,9049,2791,22.0
37920,29748,57877,9.34
172064,10494,43810,4.6899999999999995
224219,28531,3686,6.4399999999999995
20779,70769,49212,54.69
197261,20203,3628,29.76
185302,29250,60022,49.95
41890,68271,1249,44.595
106050,17757,22272,8.19
81051,41755,15201,14.22
291064,62794,41487,8.39
183740,45647,4834,94.16
13988,54307,1675,12.49
299438,57148,5630,1.49
103871,72233,4618,6.890000000000001
124273,45768,9180,227.48
287269,28686,21361,16.6
257214,9323,24515,68.15
192079,73018,29866,31.99
94414,42051,3034,32.99
220222,28694,26566,18.99
252860,11131,3784,3.38
235058,40826,37635,80.99
50566,1562,54917,6.99
65103,9188,58235,81.32
99993,19638,10866,19.9
292742,33784,64939,47.99
3933,62388,4064,310.67
255477,16914,66301,5.99
240883,61757,9019,25.85
155404,57815,275,12.94
94077,41982,63126,12.79
226144,52572,50829,34.97
271545,509,11130,14.035
178450,2502,60631,41.99
153419,63462,5699,56.93
245669,64158,10069,5.5
161062,48878,26716,70.5
87785,47459,69880,10.0
58630,42857,65265,1.67
203661,46302,2997,39.97
120838,4442,15843,12.535
91764,8193,54908,14.835
159035,8073,19323,19.46
85167,30597,1977,17.64
162984,12700,14687,5.28
206166,74490,20211,25.95
165237,23084,26214,13.03
107432,26640,30727,47.52
127121,27482,71535,25.74
129570,8225,71238,7.59
232999,3985,42878,20.95
134959,21384,3649,9.99
267393,49386,2980,4.89
171846,20326,55823,6.99
24799,60493,5847,5.99
42185,55780,9679,10.5
132771,15479,51129,5.99
255252,28513,7347,28.49
22833,71470,40610,16.94
178466,66856,7570,6.49
157863,44076,39311,3.49
278093,29108,58474,48.945
143253,32933,7134,6.74
247942,10077,40644,123.49
224018,9275,37927,7.99
149313,44484,34487,3.39
248116,21760,59952,6.99
44098,66848,37651,9.135
100011,56700,7860,7.99
191079,8686,28312,10.515
153665,69972,39343,4.79
169054,38027,6211,107.49
291479,19487,71801,12.29
126974,14868,20064,20.99
145261,45780,51604,86.43
9419,61239,61254,2.98
44450,337,3312,44.99
55692,27176,58170,31.99
237292,41963,61916,19.98
147190,59570,61849,38.92
252054,34193,30077,11.98
205627,17473,38819,21.16
254065,15367,43763,69.95
218831,39272,37273,9.84
140071,54204,3806,5.87
111207,70099,18301,2.98
43774,5987,17292,1.92
123697,8534,17861,17.99
56610,47003,2556,9.99
48689,60083,70523,4.885
269574,12718,35023,19.1
139638,46261,3823,23.95
59375,49918,33546,4.99
119832,2389,40879,2.86
224863,5152,17767,9.88
29922,3946,5648,10.09
213866,57532,23752,33.19
123247,13033,70830,4.98
146447,13728,58642,53.01
258528,46265,40137,10.575
63480,74069,1959,14.99
155684,35913,2677,20.99
149719,50073,64250,46.04
61806,41321,55994,37.57
77066,3838,67991,97.59
210077,27383,47569,10.915
147921,74122,53832,59.48
219101,60596,17288,18.95
209630,31094,52272,7.48
192231,26043,25987,72.99
146029,9885,66543,51.77
196290,32655,66448,35.0
162853,40502,1564,26.74
98261,73267,35644,16.81
35710,3311,4760,2.07
171945,27623,8495,6.48
42419,47242,2583,11.62
37327,10549,60738,14.99
185204,26747,57670,4.48
255121,57940,41229,4.74
137024,30203,10062,11.99
261628,28258,4768,14.0
72322,39598,25183,42.935
290267,67038,24831,14.99
197352,18028,55496,14.16
133275,65670,40998,17.595
267912,3100,52967,3.79
51634,7215,1684,18.0
11943,37126,28511,13.74
15579,10035,3679,14.955000000000002
220395,25793,64548,2.64
78584,4641,43166,3.19
82545,30337,53925,5.575
8215,1695,3936,3.99
93821,73633,2708,21.99
37841,21327,70658,18.5
73951,21796,72013,51.49
263900,57302,64621,12.5
178854,59655,63853,15.0
69376,46033,34341,16.99
277527,44868,18229,20.39
45687,14297,50557,6.39
269550,43981,8645,30.39
93381,27980,65654,2.03
258866,42088,70817,11.45
281519,68826,920,14.495
147685,14762,53568,16.77
144442,40369,8081,11.64
264652,7777,7904,3.49
195133,18757,25416,99.95
246098,44226,27576,58.99
47445,17453,690,2.59
222813,22428,66283,81.49
33989,29572,961,2.98
22653,65948,40731,29.99
71576,36466,16712,26.99
162197,38030,69944,3.17
188956,44171,55434,12.01
163889,33167,18170,7.99
194736,53877,9489,12.88
227127,7709,12564,24.22
78404,20459,3334,36.99
58310,22166,62626,119.43
97712,3527,68911,8.43
238820,7927,6535,10.95
98379,72080,13852,4.005
102530,59201,45217,99.99
37922,47492,2896,14.23
223531,41657,44978,30.99
183437,22669,64617,15.74
253127,66301,4493,3.99
245042,11071,2131,2.445
169664,5138,7063,3.98
119425,28667,33963,10.25
176294,62232,2945,6.47
33134,28884,25660,3.13
152033,3076,46355,19.49
7584,22930,59659,17.84
15163,64189,48328,24.99
70192,6950,31454,13.49
167575,63370,49259,13.0
68789,27138,16538,31.99
215712,52155,57801,25.29
213583,50531,55979,29.47
41495,10932,60546,10.04
250452,44797,60622,17.52
278288,19349,6539,4.39
206169,49101,27317,20.375
19839,10777,30851,19.44
105230,38466,30646,129.98
129413,26167,47710,22.79
83458,34664,54450,6.48
15884,23661,4099,12.49
249429,64978,1806,13.09
23207,73454,3869,3.5
59195,61086,3578,41.78
269521,625,6882,2.655
114788,58134,7526,28.45
129094,28623,19942,42.39
167238,37587,6241,65.405
232834,22440,35017,22.93
36957,36513,66447,7.98
50330,52880,40706,8.040000000000001
117593,12999,12054,4.29
233719,40867,17756,19.99
35148,7295,29759,14.8
271935,5254,18751,5.885
237017,43973,13360,4.855
77235,19576,66024,3.49
174935,6465,33472,7.99
153908,3096,37800,4.04
234319,16775,3270,25.98
269812,42413,4411,4.62
171030,10473,5261,42.795
53877,45511,58387,9.99
145542,7586,60442,86.02
147051,70813,53774,34.81
180135,41901,2044,28.99
24106,40507,32099,2.13
165468,26415,3446,78.47
73257,48791,40473,21.98
79995,70286,31778,4.93
102708,24503,38292,10.99
6581,68164,59679,76.75
41987,50377,1578,2.905
79104,69324,21218,26.0
296052,2867,68789,6.605
16091,51751,40080,10.02
192478,62703,38326,12.99
208085,20813,8305,27.5
173235,1444,34439,9.795
222432,22429,50810,337.67
147141,63727,57887,65.96
119426,49063,35101,14.74
163285,65294,51878,2.84
149258,15416,10065,7.074999999999999
278340,20167,32577,4.69
270820,53511,6497,7.94
116820,12394,46813,12.99
56693,8694,35224,16.99
155128,63031,2546,35.0
46146,28938,1518,1.39
80779,35014,14241,3.24
17383,66496,56715,3.92
171154,55067,57684,10.465
160219,36717,23531,3.42
285136,71685,71349,39.99
46332,19026,68323,85.42
125794,22228,51610,7.71
217193,72653,5771,1.48
210365,39073,60744,19.98
279762,64057,28559,35.99
62234,61487,48615,33.3
40332,32316,562,4.445
67175,13945,49186,22.99
60056,22466,7905,62.87
179662,1893,54464,17.99
239933,21027,23081,39.99
244722,1703,3406,19.49
145956,26122,64855,26.09
68924,27790,53419,88.49
243170,21829,6512,24.99
232128,26007,17495,19.99
122804,19206,31122,2.79
195940,52793,3965,49.03
5311,38978,49814,50.13
26312,32271,40559,19.03
146696,13731,45388,56.37
42269,73773,23601,4.625
125087,22642,6910,13.62
165332,64446,60173,3.99
291099,58946,55807,4.265000000000001
212550,13258,44700,37.99
130379,63133,70152,37.93
141747,70970,58745,26.98
48402,15546,1658,3.49
265716,12607,5669,4.49
134991,71482,5666,4.99
219254,1642,51266,20.735
74012,56239,39666,19.99
298753,31968,7952,7.47
230746,46630,38476,21.99
249523,57636,59973,1.58
173571,9286,22064,24.92
200882,28999,1892,25.86
371,31446,29868,17.95
130082,34007,5074,39.775000000000006
192586,18099,3830,13.99
1934,66583,59451,17.97
68642,69631,35609,65.74
19291,59729,59023,64.31
100682,41431,46930,12.99
169125,39777,11337,11.25
169763,68881,24466,60.29
162737,13727,41263,6.99
121685,73413,4402,212.99
39368,19151,7370,6.49
280293,28398,38380,6.175
243552,441,29979,49.99
26367,37887,39065,38.68
95471,58203,24838,5.74
56950,38005,20446,53.545
272123,73604,2979,21.95
89200,47597,1642,26.69
109413,46563,65062,55.56
182569,69395,51694,5.53
240551,41964,31135,15.384999999999998
170216,54192,55829,31.74
